PRICE,AMOUNT,COIN
1.35,32,Tether
1.79,22,Bitcoin
0.84,25,Solve
0.77,26,Bitcoin
1.92,43,Revain
1.99,5,Ethereum
1.04,30,Symbol
1.66,31,Chainlink
0.84,46,Dai
1.27,50,Revain
1.08,50,Ethereum
1.63,47,Chainlink
0.7,37,Bitcoin
0.14,2,Tether
0.39,48,Sapienzacoin
1.4,12,Symbol
1.6,28,Stellar
1.1,29,Symbol
0.12,21,Chainlink
0.65,10,Symbol
1.66,40,Dai
0.6,46,Dai
0.23,12,Chainlink
1.41,42,Paxos
0.37,40,Chainlink
1.34,3,Sapienzacoin
1.17,35,Algorand
1.86,19,Solve
1.64,33,Algorand
1.23,4,Solve
0.26,18,Stellar
0.31,37,Revain
1.42,1,Solve
0.39,34,Tether
0.66,45,Tether
0.62,14,Waves
0.12,42,Tezos
0.34,40,Sora
1.25,48,Tether
0.92,44,Revain
0.83,51,Symbol
0.48,47,Sora
1.48,31,Ethereum
1.96,7,Dai
0.16,2,Sapienzacoin
0.76,27,Symbol
0.22,32,Tezos
1.41,6,Waves
1.86,11,Paxos
1.26,11,Algorand
1.45,29,Solve
0.11,24,Chainlink
0.11,29,Stellar
1.97,10,Chainlink
1.74,51,Dai
0.98,51,Stellar
1.24,27,Chainlink
1.19,4,Sapienzacoin
1.69,42,Dai
0.48,37,Stellar
1.11,48,Waves
1.08,33,Dai
0.43,44,Sora
0.7,47,Sora
0.72,36,Ethereum
0.48,31,Algorand
0.53,6,Stellar
0.76,19,Tezos
1.53,22,Paxos
1.01,2,Algorand
1.5,27,Stellar
0.92,42,Sora
0.73,32,Stellar
0.31,38,Ethereum
1.12,15,Stellar
1.57,19,Chainlink
0.79,45,Chainlink
0.76,20,Bitcoin
1.7,49,Paxos
0.52,48,Sapienzacoin
1.76,42,Bitcoin
0.12,27,Dai
0.84,9,Solve
1.42,37,Ethereum
0.92,29,Ethereum
0.7,38,Stellar
0.32,18,Solve
1.24,7,Sora
1.46,5,Symbol
1.27,10,Chainlink
1.79,21,Algorand
1.46,50,Sapienzacoin
1.18,32,Tether
1.4,16,Paxos
0.58,32,Tezos
0.47,27,Solve
1.47,18,Solve
